Date,Adj Close,Virus,Vaccine,Flu,Health,Fin
2019/12/2,85.529259,2,15,16,60,80
2019/12/9,85.856544,2,14,18,60,82
2019/12/16,88.761726,2,13,20,60,85
2019/12/23,88.684181,2,11,24,55,75
2019/12/30,88.441872,2,12,24,57,80
2020/1/6,86.774803,2,15,23,64,89
2020/1/13,88.170486,2,15,23,63,86
2020/1/20,83.334053,14,16,28,67,86
2020/1/27,82.810669,32,20,45,73,90
2020/2/3,82.461754,18,18,38,68,91
2020/2/10,80.106537,14,17,34,67,88
2020/2/17,79.806061,12,16,26,67,89
2020/2/24,74.203941,32,25,46,76,92
2020/3/2,79.67038,41,31,57,75,95
2020/3/9,74.3881,73,51,93,89,98
2020/3/16,69.735344,100,73,100,100,100
2020/3/23,70.096916,82,65,72,93,90
2020/3/30,74.514008,51,57,58,85,92
2020/4/6,80.611938,36,51,42,84,89
2020/4/13,81.55986,27,47,32,78,93
2020/4/20,79.57608,23,53,30,75,88
2020/4/27,75.90168,18,50,25,69,88
2020/5/4,74.660599,16,60,21,70,90
2020/5/11,77.963638,14,50,19,70,90
2020/5/18,74.631287,12,55,18,70,86
2020/5/25,78.88224,10,40,16,68,84
2020/6/1,80.387177,9,36,10,66,91
2020/6/8,74.562874,9,39,10,68,90
2020/6/15,76.731567,8,42,11,68,89
2020/6/22,74.062218,8,44,14,67,87
2020/6/29,77.598366,9,49,19,68,93
2020/7/6,75.579117,7,49,18,66,89
2020/7/13,78.672028,7,78,20,68,89
2020/7/20,75.943565,7,68,16,68,87
2020/7/27,79.036469,6,56,14,67,90
2020/8/3,79.804771,6,54,13,65,93
2020/8/10,82.227875,6,84,14,65,90
2020/8/17,83.705376,5,53,14,66,84
2020/8/24,84.365326,5,46,14,66,88
2020/8/31,83.961472,5,50,15,64,87
2020/9/7,83.212875,5,52,19,66,84
2020/9/14,84.522919,5,49,21,66,85
2020/9/21,82.280235,5,47,26,64,82
2020/9/28,80.166931,5,46,26,66,87
2020/10/5,79.73037,5,44,31,67,85
2020/10/12,79.204529,5,45,26,67,85
2020/10/19,79.204529,5,46,25,67,83
2020/10/26,74.62072,5,44,24,66,81
2020/11/2,79.73037,4,36,18,60,81
2020/11/9,80.454651,5,94,18,67,86
2020/11/16,79.819664,5,82,20,67,86
2020/11/23,79.234291,4,71,16,63,84
2020/11/30,79.760139,4,100,17,65,90
